age_months,powertrain,vehicle_type,miles25,miles50,miles75,vehicle,age_years,category
37,phev,car,23716,31767,40067,phev_car,3.0833333333333335,other
38,phev,car,24000,31712,40000,phev_car,3.1666666666666665,other
39,phev,car,24584,32319,40892,phev_car,3.25,other
40,phev,car,24880.25,32477.5,40954.75,phev_car,3.3333333333333335,other
41,phev,car,24707,32384,40748,phev_car,3.4166666666666665,other
42,phev,car,24521,32447,41611,phev_car,3.5,other
43,phev,car,24733,32506.5,41490.25,phev_car,3.5833333333333335,other
44,phev,car,25000,32492.5,41172.25,phev_car,3.6666666666666665,other
45,phev,car,25407,32798,41456,phev_car,3.75,other
46,phev,car,25423,33411,42411,phev_car,3.8333333333333335,other
47,phev,car,26317.75,33785,43032,phev_car,3.9166666666666665,other
48,phev,car,26764.5,34693.5,44310,phev_car,4,other
49,phev,car,26683.5,35196,45323,phev_car,4.083333333333333,other
50,phev,car,27908,36473,47912.25,phev_car,4.166666666666667,other
51,phev,car,27377.5,36679,49937,phev_car,4.25,other
52,phev,car,28162.25,38217,52059,phev_car,4.333333333333333,other
53,phev,car,29984,40243,55087,phev_car,4.416666666666667,other
54,phev,car,30910,42754,57248.5,phev_car,4.5,other
55,phev,car,32181,44631,59492,phev_car,4.583333333333333,other
56,phev,car,32400,45918,62031,phev_car,4.666666666666667,other
57,phev,car,36218,49655,65317,phev_car,4.75,other
58,phev,car,36000,50545.5,66684,phev_car,4.833333333333333,other
59,phev,car,37994,52422,68287.5,phev_car,4.916666666666667,other
60,phev,car,37755.5,52993.5,69056.75,phev_car,5,other
61,phev,car,40600.5,55047.5,71289.75,phev_car,5.083333333333333,other
62,phev,car,41805,55545,72124,phev_car,5.166666666666667,other
63,phev,car,41977,56228,73415,phev_car,5.25,other
64,phev,car,43341.75,57567,74212,phev_car,5.333333333333333,other
65,phev,car,42932,59000,75927,phev_car,5.416666666666667,other
66,phev,car,45014.5,58991.5,76035,phev_car,5.5,other
67,phev,car,46344,59676,75798,phev_car,5.583333333333333,other
68,phev,car,47261.75,62762.5,79005.75,phev_car,5.666666666666667,other
69,phev,car,44290.75,60154.5,76395.25,phev_car,5.75,other
70,phev,car,47754,64308,84784,phev_car,5.833333333333333,other
71,phev,car,48003,62077,80125,phev_car,5.916666666666667,other
72,phev,car,48702,62880.5,79421,phev_car,6,other
73,phev,car,49021,65000,82271,phev_car,6.083333333333333,other
74,phev,car,51957.75,66764.5,84305,phev_car,6.166666666666667,other
75,phev,car,50260.5,67831.5,86001,phev_car,6.25,other
76,phev,car,50934,68715,84000,phev_car,6.333333333333333,other
77,phev,car,51056.5,69749,86481.5,phev_car,6.416666666666667,other
78,phev,car,53389.75,70804,89554,phev_car,6.5,other
79,phev,car,52371.25,68465.5,88806.25,phev_car,6.583333333333333,other
80,phev,car,56632.75,74268,93645.25,phev_car,6.666666666666667,other
81,phev,car,54180,72000,92718,phev_car,6.75,other
82,phev,car,55995.5,72882.5,91677.5,phev_car,6.833333333333333,other
83,phev,car,53517,73615,94326,phev_car,6.916666666666667,other
84,phev,car,54090,75285.5,93826,phev_car,7,other
85,phev,car,56007.5,75610.5,92452.25,phev_car,7.083333333333333,other
86,phev,car,52910,72377.5,93365.25,phev_car,7.166666666666667,other
87,phev,car,53103.5,72928.5,90680.25,phev_car,7.25,other
88,phev,car,59408.75,78104,95960.25,phev_car,7.333333333333333,other
89,phev,car,61105,79119,99979.25,phev_car,7.416666666666667,other
90,phev,car,59903.5,79722,98474.5,phev_car,7.5,other
91,phev,car,58110.25,77631.5,96822.5,phev_car,7.583333333333333,other
92,phev,car,63218.75,83536,103944.75,phev_car,7.666666666666667,other
93,phev,car,57624,77425,100155,phev_car,7.75,other
94,phev,car,59857,81068,99016,phev_car,7.833333333333333,other
95,phev,car,56709.25,75913.5,95579.75,phev_car,7.916666666666667,other
96,phev,car,62292,82024,100040,phev_car,8,other
97,phev,car,65095,83345,102904,phev_car,8.083333333333334,other
98,phev,car,61326,81203,99276.5,phev_car,8.166666666666666,other
99,phev,car,63517,84225,104529.5,phev_car,8.25,other
100,phev,car,65009,88576,107290,phev_car,8.333333333333334,other
101,phev,car,67766,91238,113557,phev_car,8.416666666666666,other
102,phev,car,66762,87934,109260,phev_car,8.5,other
103,phev,car,72305,93504,112629.5,phev_car,8.583333333333334,other
104,phev,car,67633,85342,105248.5,phev_car,8.666666666666666,other
105,phev,car,72256.5,89485,113940,phev_car,8.75,other
106,phev,car,60514,88027,111315,phev_car,8.833333333333334,other
107,phev,car,67883,90977,108449.5,phev_car,8.916666666666666,other
108,phev,car,68093,90150,106671,phev_car,9,other
24,bev,car,17927.75,31797,41425,conventional_car,2,conventional
25,bev,car,18476,32000,41718,conventional_car,2.0833333333333335,conventional
26,bev,car,19421,32986,42398,conventional_car,2.1666666666666665,conventional
27,bev,car,19330,32007,42325,conventional_car,2.25,conventional
28,bev,car,19374,31003,41638,conventional_car,2.3333333333333335,conventional
29,bev,car,19647,30781,41578,conventional_car,2.4166666666666665,conventional
30,bev,car,19787,30422,41671,conventional_car,2.5,conventional
31,bev,car,20038,30371,41837,conventional_car,2.5833333333333335,conventional
32,bev,car,20480,30600,42200,conventional_car,2.6666666666666665,conventional
33,bev,car,20944,30902,42411.25,conventional_car,2.75,conventional
34,bev,car,21515,31332,42853,conventional_car,2.8333333333333335,conventional
35,bev,car,21990.25,31518,42971,conventional_car,2.9166666666666665,conventional
36,bev,car,22498,31903,43014.25,conventional_car,3,conventional
37,bev,car,23170,32596,43997,conventional_car,3.0833333333333335,conventional
