quantile,dvmt,powertrain,vehicle_type
68,25.165457316427833,bev_all,suv
69,25.524214485727413,bev_all,suv
70,25.924565842438184,bev_all,suv
71,26.3158188494492,bev_all,suv
72,26.69364508432744,bev_all,suv
73,27.14984568364387,bev_all,suv
74,27.56994898800921,bev_all,suv
75,28.050599867496253,bev_all,suv
76,28.48884677607503,bev_all,suv
77,28.90608984888305,bev_all,suv
78,29.337000063083526,bev_all,suv
79,29.84921153070407,bev_all,suv
80,30.405126075886884,bev_all,suv
81,30.900024616814477,bev_all,suv
82,31.426247621919266,bev_all,suv
83,32.02361316357774,bev_all,suv
84,32.61350938741789,bev_all,suv
85,33.16841035225635,bev_all,suv
86,33.86265087853323,bev_all,suv
87,34.53855420748994,bev_all,suv
88,35.341925376211094,bev_all,suv
89,36.33389233954452,bev_all,suv
90,37.363841364093204,bev_all,suv
91,38.44447838077653,bev_all,suv
92,39.71921878862796,bev_all,suv
93,41.084925324675325,bev_all,suv
94,42.70721665056524,bev_all,suv
95,44.51470018975333,bev_all,suv
96,47.06111503811502,bev_all,suv
97,50.159526666666665,bev_all,suv
98,55.31635448827901,bev_all,suv
99,64.79497835688555,bev_all,suv
1,3.0533992106248746,conventional,car
2,5.377515204384644,conventional,car
3,7.045735705867134,conventional,car
4,8.400305161031273,conventional,car
5,9.554006396972444,conventional,car
6,10.56889069221377,conventional,car
7,11.48874901891283,conventional,car
8,12.32159022066909,conventional,car
9,13.095752339812815,conventional,car
10,13.816128808010136,conventional,car
11,14.492141508277133,conventional,car
12,15.131495888980727,conventional,car
13,15.738448894069734,conventional,car
14,16.318576540074183,conventional,car
15,16.876056338028167,conventional,car
16,17.40644038294169,conventional,car
17,17.920503211126103,conventional,car
18,18.418201516793065,conventional,car
19,18.90042194092827,conventional,car
20,19.366289293809913,conventional,car
21,19.822222222222223,conventional,car
22,20.26580248416606,conventional,car
23,20.699601965724845,conventional,car
24,21.124503170416098,conventional,car
25,21.54140127388535,conventional,car
26,21.952551108437625,conventional,car
27,22.355876117127444,conventional,car
28,22.75283446712018,conventional,car
29,23.144217144259223,conventional,car
30,23.530436194240536,conventional,car
31,23.915108642793733,conventional,car
32,24.296424150699032,conventional,car
33,24.67618767963956,conventional,car
34,25.05353023499333,conventional,car
35,25.427710843373493,conventional,car
36,25.800389408207813,conventional,car
37,26.172382638022235,conventional,car
38,26.54367488453299,conventional,car
39,26.914893617021278,conventional,car
40,27.28978978978979,conventional,car
41,27.667298810483356,conventional,car
42,28.04642002165113,conventional,car
43,28.42720688595803,conventional,car
44,28.810738970499777,conventional,car
45,29.196771680887267,conventional,car
46,29.58839050131926,conventional,car
47,29.982200240600484,conventional,car
48,30.382575407858155,conventional,car
49,30.785689861560826,conventional,car
50,31.1937893081761,conventional,car
51,31.607582079548262,conventional,car
52,32.02504666816805,conventional,car
53,32.44905227830316,conventional,car
54,32.88113998735907,conventional,car
55,33.32272486134555,conventional,car
56,33.76916016077932,conventional,car
57,34.22510562652444,conventional,car
58,34.686194617755895,conventional,car
59,35.15857669438807,conventional,car
60,35.64076395763677,conventional,car
61,36.1308651328901,conventional,car
62,36.63152153307232,conventional,car
63,37.141886176880774,conventional,car
64,37.663873477922955,conventional,car
65,38.1963336265762,conventional,car
66,38.74185773805016,conventional,car
67,39.302023687306246,conventional,car
68,39.877206401661795,conventional,car
69,40.46868318466403,conventional,car
