age_months,powertrain,vehicle_type,quantile,mileage,age_years
3,bev,suv,50,790,0.25
3,bev,suv,55,858.8000000000003,0.25
3,bev,suv,60,1093.5999999999995,0.25
3,bev,suv,65,1438.6000000000004,0.25
3,bev,suv,70,1504.8000000000002,0.25
3,bev,suv,75,1628,0.25
3,bev,suv,80,2762.4000000000024,0.25
3,bev,suv,85,3387.9999999999986,0.25
3,bev,suv,90,4317.400000000002,0.25
3,bev,suv,95,6574.999999999998,0.25
3,bev,suv,99,9763.639999999996,0.25
3,conventional,car,1,0,0.25
3,conventional,car,5,5,0.25
3,conventional,car,10,8,0.25
3,conventional,car,15,11,0.25
3,conventional,car,20,54,0.25
3,conventional,car,25,445,0.25
3,conventional,car,30,1001,0.25
3,conventional,car,35,1640,0.25
3,conventional,car,40,2259,0.25
3,conventional,car,45,2850.800000000001,0.25
3,conventional,car,50,3426,0.25
3,conventional,car,55,4021,0.25
3,conventional,car,60,4510,0.25
3,conventional,car,65,5051.6,0.25
3,conventional,car,70,6057.799999999999,0.25
3,conventional,car,75,7435,0.25
3,conventional,car,80,9783.2,0.25
3,conventional,car,85,12776.799999999996,0.25
3,conventional,car,90,15954.200000000004,0.25
3,conventional,car,95,20445.799999999996,0.25
3,conventional,car,99,39210.59999999995,0.25
3,conventional,pickup,1,1,0.25
3,conventional,pickup,5,4,0.25
3,conventional,pickup,10,9,0.25
3,conventional,pickup,15,15,0.25
3,conventional,pickup,20,65,0.25
3,conventional,pickup,25,264,0.25
3,conventional,pickup,30,568.7999999999997,0.25
3,conventional,pickup,35,1004,0.25
3,conventional,pickup,40,1494.8000000000002,0.25
3,conventional,pickup,45,2045,0.25
3,conventional,pickup,50,2426,0.25
3,conventional,pickup,55,2975.1000000000004,0.25
3,conventional,pickup,60,3500,0.25
3,conventional,pickup,65,4218,0.25
3,conventional,pickup,70,5009.5999999999985,0.25
3,conventional,pickup,75,6261,0.25
3,conventional,pickup,80,8276.000000000007,0.25
3,conventional,pickup,85,11000,0.25
3,conventional,pickup,90,12638.400000000001,0.25
3,conventional,pickup,95,15219.699999999995,0.25
3,conventional,pickup,99,30867.140000000036,0.25
3,conventional,suv,1,0,0.25
3,conventional,suv,5,5,0.25
3,conventional,suv,10,9,0.25
3,conventional,suv,15,15,0.25
3,conventional,suv,20,154,0.25
3,conventional,suv,25,571,0.25
3,conventional,suv,30,1232.5,0.25
3,conventional,suv,35,2016,0.25
3,conventional,suv,40,2564,0.25
3,conventional,suv,45,3243.25,0.25
3,conventional,suv,50,4046,0.25
3,conventional,suv,55,4987,0.25
3,conventional,suv,60,6206,0.25
3,conventional,suv,65,8168,0.25
3,conventional,suv,70,10742.5,0.25
3,conventional,suv,75,12496.25,0.25
3,conventional,suv,80,14059,0.25
3,conventional,suv,85,15725.5,0.25
3,conventional,suv,90,17788.5,0.25
3,conventional,suv,95,21022.75,0.25
3,conventional,suv,99,31143.649999999943,0.25
3,hybrid,car,1,1,0.25
3,hybrid,car,5,5,0.25
3,hybrid,car,10,8,0.25
3,hybrid,car,15,22.549999999999997,0.25
3,hybrid,car,20,126.20000000000002,0.25
3,hybrid,car,25,435.25,0.25
3,hybrid,car,30,946.3999999999996,0.25
3,hybrid,car,35,1580.4499999999994,0.25
3,hybrid,car,40,2018.6000000000001,0.25
3,hybrid,car,45,2115.3,0.25
3,hybrid,car,50,2291.5,0.25
3,hybrid,car,55,2560.1000000000004,0.25
3,hybrid,car,60,3326.3999999999996,0.25
3,hybrid,car,65,4229.250000000001,0.25
3,hybrid,car,70,5646.1,0.25
3,hybrid,car,75,7203.75,0.25
3,hybrid,car,80,9448.200000000003,0.25
3,hybrid,car,85,13071.549999999988,0.25
3,hybrid,car,90,15710.900000000005,0.25
3,hybrid,car,95,20271.34999999998,0.25
3,hybrid,car,99,59582.03,0.25
3,hybrid,suv,1,0,0.25
3,hybrid,suv,5,2,0.25
3,hybrid,suv,10,5,0.25
3,hybrid,suv,15,5,0.25
3,hybrid,suv,20,5.800000000000001,0.25
3,hybrid,suv,25,10,0.25
3,hybrid,suv,30,21.799999999999983,0.25
3,hybrid,suv,35,136.1,0.25
3,hybrid,suv,40,373.6,0.25
3,hybrid,suv,45,673.2999999999998,0.25
3,hybrid,suv,50,1120,0.25
